,,Time,Density
1168,0.70388,77.8,0.70388
1171,0.707992,78,0.707992
1174,0.711632,78.2,0.711632
1177,0.713135,78.4,0.713135
1180,0.714434,78.6,0.714434
1183,0.714262,78.8,0.714262
1186,0.716498,79,0.716498
1189,0.717298,79.2,0.717298
1192,0.717743,79.4,0.717743
1195,0.717591,79.6,0.717591
1198,0.717751,79.8,0.717751
1201,0.717887,80,0.717887
1204,0.718586,80.2,0.718586
1207,0.717446,80.4,0.717446
1210,0.718671,80.6,0.718671
1213,0.720213,80.8,0.720213
1216,0.718757,81,0.718757
1219,0.718831,81.2,0.718831
1222,0.718863,81.4,0.718863
1225,0.717626,81.6,0.717626
1228,0.716373,81.8,0.716373
1231,0.716553,82,0.716553
1234,0.715043,82.2,0.715043
1237,0.711508,82.4,0.711508
1240,0.711012,82.6,0.711012
1243,0.709541,82.8,0.709541
1246,0.711515,83,0.711515
1249,0.713556,83.2,0.713556
1252,0.71445,83.4,0.71445
1255,0.715144,83.6,0.715144
1258,0.715351,83.8,0.715351
1261,0.714052,84,0.714052
1264,0.714621,84.2,0.714621
1267,0.715324,84.4,0.715324
1270,0.714227,84.6,0.714227
1273,0.714114,84.8,0.714114
1276,0.712553,85,0.712553
1279,0.713349,85.2,0.713349
1282,0.712651,85.4,0.712651
1285,0.71388,85.6,0.71388
1288,0.711449,85.8,0.711449
1291,0.710318,86,0.710318
1294,0.709775,86.2,0.709775
1297,0.709463,86.4,0.709463
1300,0.708546,86.6,0.708546
1303,0.709128,86.8,0.709128
1306,0.710021,87,0.710021
1309,0.70958,87.2,0.70958
1312,0.70695,87.4,0.70695
1315,0.706135,87.6,0.706135
1318,0.706267,87.8,0.706267
1321,0.707048,88,0.707048
1324,0.708874,88.2,0.708874
1327,0.70784,88.4,0.70784
1330,0.706607,88.6,0.706607
1333,0.706822,88.8,0.706822
1336,0.70443,89,0.70443
1339,0.704426,89.2,0.704426
1342,0.705382,89.4,0.705382
1345,0.705432,89.6,0.705432
1348,0.707235,89.8,0.707235
1351,0.706119,90,0.706119
1354,0.706131,90.2,0.706131
1357,0.706037,90.4,0.706037
1360,0.707625,90.6,0.707625
1363,0.711004,90.8,0.711004
1366,0.71008,91,0.71008
1369,0.70896,91.2,0.70896
