density,time
0.718035,53.868
0.717977,53.935
0.717911,54.002
0.717618,54.069
0.71754,54.136
0.71747,54.203
0.717481,54.27
0.71736,54.337
0.717485,54.404
0.717466,54.471
0.717481,54.538
0.717481,54.605
0.717501,54.672
0.717497,54.739
0.717497,54.806
0.717497,54.873
0.717497,54.94
0.717497,55.007
0.718285,55.074
0.718363,55.141
0.720603,55.208
0.7207,55.275
0.720845,55.342
0.721094,55.409
0.721563,55.476
0.721547,55.543
0.721504,55.61
0.721863,55.677
0.721941,55.744
0.722152,55.811
0.722366,55.878
0.722405,55.945
0.722417,56.012
0.722308,56.079
0.722128,56.146
0.72207,56.213
0.722027,56.28
0.721929,56.347
0.721789,56.414
0.722011,56.481
0.722043,56.548
0.721668,56.615
0.720903,56.682
0.720014,56.749
0.719916,56.816
0.71999,56.883
0.719928,56.95
0.719928,57.017
0.719963,57.084
0.720092,57.151
0.72001,57.218
0.719955,57.285
0.71976,57.352
0.719229,57.419
0.719116,57.486
0.719495,57.553
0.719495,57.62
0.719385,57.687
0.719381,57.754
0.7196,57.821
0.719366,57.888
0.719136,57.955
0.718761,58.022
0.718902,58.089
0.718632,58.156
0.718367,58.223
0.718199,58.29
0.718059,58.357
0.717762,58.424
0.717665,58.491
0.717594,58.558
0.717384,58.625
0.717501,58.692
0.717591,58.759
0.717754,58.826
0.717758,58.893
0.718558,58.96
0.718601,59.027
0.718898,59.094
0.71855,59.161
0.718195,59.228
0.717992,59.295
0.717555,59.362
0.717411,59.429
0.717333,59.496
0.71745,59.563
0.717356,59.63
0.717193,59.697
0.717052,59.764
0.716931,59.831
0.71697,59.898
0.716502,59.965
0.716506,60.032
0.715718,60.099
0.715823,60.166
0.716092,60.233
0.715526,60.3
0.715214,60.367
0.71505,60.434
0.712943,60.501
0.712963,60.568
0.713775,60.635
0.714383,60.702
0.714699,60.769
0.71537,60.836
0.715577,60.903
0.715761,60.97
0.715519,61.037
0.715441,61.104
0.7153,61.171
0.714953,61.238
0.714972,61.305
0.71516,61.372
0.715117,61.439
0.714941,61.506
0.714707,61.573
0.714871,61.64
0.715472,61.707
0.715944,61.774
0.715999,61.841
0.71601,61.908
0.716084,61.975
